istasyon_no,istasyon_adi,hizmet_sekli,marka,sarj_agi_isletmecisi,sarj_istasyonu_isletmecisi,adres,soket_bilgileri
ŞRJ/9055,Emanet APT,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çiğdem Mah Mahallesi Katırcı Cad Caddesi  No:151 Beykoz / İSTANBUL,
ŞRJ/9056,Bay Daniel Motors,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Zerzavatçı Mah. Mahallesi  No:9  Örnekköy Beykoz / İSTANBUL,
ŞRJ/9065,Öztürk Reklam,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Namık Kemal Mh Mahallesi Ümraniye / İSTANBUL,
ŞRJ/9066,Oto Metin,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çubuklu Mah Mahallesi Beykoz / İSTANBUL,
ŞRJ/9067,Mert Mimarlık,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Rüzgarlibahçe Cumhuriyet Cad Caddesi Beykoz / İSTANBUL,
ŞRJ/9068,Görele Park,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Görele Mah. Mahallesi Beykoz / İSTANBUL,
ŞRJ/9311,Car Station,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çubuklu Mahallesi Dedeoğlu Sokağı  No:1A  Bucak Beykoz / İSTANBUL,
ŞRJ/9312,Akın Oto Servis,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Cevizli Mahallesi Gençlik Sokağı  No:2 Maltepe / İSTANBUL,
ŞRJ/9389,Form Pres,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çalıkhalil Mah. Mahallesi 24. Sokağı  Çalı Nilüfer / BURSA,
ŞRJ/9398,Doğankent 1,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi 5781 Sokağı  No:7 Seferihisar / İZMİR,
ŞRJ/9420,Car Potion Oto Market,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Acarlar Mah. Mahallesi Soğuksu Sok. Sokağı  No:53  Bucak Beykoz / İSTANBUL,
ŞRJ/9421,Yunus Emre Spor Tesisi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çiğdem Mahallesi Sarıkaya Caddesi  No:10  Bucak Beykoz / İSTANBUL,
ŞRJ/9541,Dr. Rotbalans,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Aydınlı Mahallesi Gürpınar Sokağı  No:20A Tuzla / İSTANBUL,
ŞRJ/9544,Yörük Makina,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Üçevler Mahallesi 62. Caddesi  No:8 Nilüfer / BURSA,
ŞRJ/9576,Anka Enerji,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ANKA GRUP GIDA TARIM BESİCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Konaklı Mahallesi Mavi Konak Sokağı  No:15 Alanya / ANTALYA,
ŞRJ/9612,Doğankent 2,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi 5781 Sokağı  No:7 Seferihisar / İZMİR,
ŞRJ/9708,Betem,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Fuatmorel Mahallesi  No:2869 Yenişehir / MERSİN,
ŞRJ/9711,Betem Menteş,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Menteş Mahallesi 2538 Sokağı  No:4 Yenişehir / MERSİN,
ŞRJ/9712,Özgecan Etüt,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi 2146 Sokağı  No:1A Yenişehir / MERSİN,
ŞRJ/9715,Özgecan Spor Kompleksi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi 2181 Sokağı  No:8 Yenişehir / MERSİN,
ŞRJ/9872,Batu Elektroteknik,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BATU ELEKTROTEKNİK ELEKTRİK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İstasyon Mahallesi Ankara Caddesi  No:99 Kartepe / KOCAELİ,
ŞRJ/10088,Atatürk Kültür Merkezi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Limonluk Mahallesi Ali Kaya Mutlu Sokağı  No:11  Merkez Yenişehir / MERSİN,
ŞRJ/10423,Güngörler BP-Manavgat,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Side Mahallesi Manavgat Caddesi  No:18 Manavgat / ANTALYA,
ŞRJ/9461,Adil K,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Atatürk Mahallesi 5780 Sokağı  No:1 Seferihisar / İZMİR,
ŞRJ/12943,Grand Kaptan Otel,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Tosmur Mahallesi 4 Sokağı  No:1 Alanya / ANTALYA,
ŞRJ/12944,Kaptan Otel,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çarşı Mahallesi İskele Caddesi  No:70 Alanya / ANTALYA,
ŞRJ/15553,Zirveden Göksu Sitesi,Özel,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Göksu Mahallesi 2. İnönü Caddesi  No:27 Etimesgut / ANKARA,
ŞRJ/15987,Nuh Öztürk Petrol,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çimşit Mahallesi Çimşit Sokağı  No:3  Merkez Gölbaşı / ANKARA,
ŞRJ/16196,Hayat Hastanesi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Elmasbahçeler Mahallesi Ankara Yolu Caddesi  No:44 Osmangazi / BURSA,
ŞRJ/17356,Park Hotel - Cafe Park,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çarşı Mahallesi Kale Yolu Caddesi  No:4 Alanya / ANTALYA,
ŞRJ/17744,Panorama Life Sitesi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,NMS TEKNİK MÜHENDİSLİK ELEKTRİK PROJE ŞARJ İNŞAAT MAKİNA DIŞ TİCARET LİMİTED ŞİRKETİ,Ata Mahallesi 3770. Sokağı  No:4 Yenimahalle / ANKARA,
ŞRJ/10089,Fuar Alanı,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Akkent Mahallesi 34. Sokağı  No:4  Merkez Yenişehir / MERSİN,
ŞRJ/17489,LC Waikiki Outlet,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,VAHAP DEVECİ,Yakınca Mahallesi Ankara Yolu Caddesi  No:1/3 Yeşilyurt / MALATYA,
ŞRJ/18345,Porto Amore,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TOPCU TURİZM KUYUMCULUK NAKLİYAT İNŞAAT TİCARET LİMİTED ŞİRKETİ,Uğrak Mahallesi Aydap Sahil Sokağı  No:150 Alanya / ANTALYA,
ŞRJ/18421,Ata Tenis Kompleksi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Limonluk Mahallesi İstemihan Talay Sokağı  No:11/a Yenişehir / MERSİN,
ŞRJ/22593,Alanses Hyundai Bayi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ALANSES OTOMOTİV PETROL TURİZM İNŞAAT TİCARET VE SANAYİ ANONİM ŞİRKETİ,Güllerpınarı Mahallesi  No:144 Alanya / ANTALYA,
ŞRJ/23435,Üsküdar Sitesi,Halka Açık,Electrise,CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ASTEKSAN OTOMOTİV İNŞAAT TAAHHÜT TEKSTİL TURİZM PETROL TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Lalapaşa Mahallesi Terminal Caddesi  No:ÜSKÜDAR SİTESİ D BLOK /4/3 Yakutiye / ERZURUM,
ŞRJ/8985,EMAR İNŞAAT_YENİSİLLE_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Akıncılar Mahallesi Yeni Sille Caddesi  No:40 Selçuklu / KONYA,
ŞRJ/11194,EMAR PETROL YENİSİLLE,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Akıncılar Mahallesi Yenisille Caddesi  No:40 Selçuklu / KONYA,
ŞRJ/9449,AYŞEGÜL ASAROĞLU SAZALAN_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,AYŞEGÜL ASAROĞLU SAZALAN,Güzelçamlı Mahallesi Anafartalar Caddesi  No:47 Kuşadası / AYDIN,
ŞRJ/8993,M.G.M MOTOR - MARMARİS,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,M.G.M. MOTOR GENSET MAKİNA SANAYİ TURİZM VE TİCARET LİMİTED ŞİRKETİ,Beldibi Mahallesi 52 Sokağı  No:195 /1 Marmaris / MUĞLA,
ŞRJ/12121,KARACAOĞLAN PARKI MUT BELEDİYE BAŞKANLIĞI,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Kale Mahallesi Cumhuriyet M. Sokağı  No:8 Mut / MERSİN,
ŞRJ/12118,ÇINARALTI PARKI MUT BELEDİYE BAŞKANLIĞI,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Kale Mahallesi Cumhuriyet M. Sokağı  No:8 Mut / MERSİN,
ŞRJ/12132,NUMAN KARADAĞ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Eğriçam Mahallesi Hüseyin Okan Merzeci Sokağı  No:741 Yenişehir / MERSİN,
ŞRJ/12131,İSTANBUL YEDİTEPE İNŞAAT TAAHHÜT PARK SİSTEMLERİ GIDA TURİZM SAN. VE DIŞ TİC,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,19 Mayıs Mahallesi Aytar Caddesi Küçük Sokağı  No:1 Şişli / İSTANBUL,
ŞRJ/12122,NÜVE CAR TURİZM OTELCİLİK ARAÇ KİRALAMA TARIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Atatürk Mahallesi 31089 Sokağı  No:1 Mezitli / MERSİN,
ŞRJ/12126,8.KISIM TURKUAZ SİTESİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Ataköy 7-8-9-10. Mahallesi Bakırköy / İSTANBUL,
ŞRJ/5248,ADALET PLAZA(4) #BLUE ENERJİ#,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,OKTAY BULDUK,Akabe Mahallesi Şehit Furkan Doğan Caddesi  No:9  Adalet Plaza Karatay / KONYA,
ŞRJ/8560,BİTİM İNŞAAT ELEKTRİKLİ ARAÇ ŞARJ İSTASYONU,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Sille Mahallesi Semavi Caddesi  No:87 Selçuklu / KONYA,
ŞRJ/4936,TIRMIL (ÇOKGÜN OTOMOTİV)#BLUE ENERJİ#,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ÇOKGÜN OTOMOTİV TAŞIMACILIK GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Çilek Mahallesi 63117 Sokağı  No:2/3  Tırmıl Sanayi Sitesi Akdeniz / MERSİN,
ŞRJ/5820,THE NOWNESS LUXURY HOTEL & SPA#BLUE ENERJİ#,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,MİMAYT MİMARLIK İNŞAAT ENERJİ AYDINLATMA TURİZM MOTORLU ARAÇLAR KİRALAMA SANAYİ VE TİCARET A.Ş.,16 Eylül Mahallesi 3014 Sokağı  No:99 Çeşme / İZMİR,
ŞRJ/7106,HAKİM PETROL#BLUE ENERJİ#,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,HAKİM PETROL GAYRİMENKUL İNŞAAT NAKLİYE OTOMOTİV GIDA VE SANAYİ TİCARET LİMİTED ŞİRKETİ,Armutlu Mahallesi  No:26 Defne / HATAY,
ŞRJ/5498,ALİ AĞA LOJİSTİK#BLUE ENERJİ#,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ALİAĞA LOJİSTİK DAĞITIM PET.İNŞ.TURZ.TAŞ.SAN.TİC.A.Ş.,Kızılçaraş Mahallesi  No:101 /1 Gölbaşı / ANKARA,
ŞRJ/7570,NEVŞEHİR EMNİYET,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Sümer Mahallesi Sümer Caddesi  No:50040 Merkez / NEVŞEHİR,
ŞRJ/8950,AKSARAY ZAFER ÖZEL EĞİTİM İNŞAAT _ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,AKSARAY ZAFER ÖZEL EĞİTİM İNŞAAT NAKLİYAT GIDA TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Nevşehir Caddesi  No:134 /1 Merkez / AKSARAY,
ŞRJ/8988,ÇAMLICABASIMYAYIN_BEYŞEHİR_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ÇAMLICA BASIM YAYIN VE TİCARET ANONİM ŞİRKETİ,Ağılönü Mahallesi 41389 Caddesi  No:4 Beyşehir / KONYA,
ŞRJ/8995,EMARİNŞAAT_KARAMAN_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Fatih Mahallesi Konya Yolu Caddesi 1979 Sokağı  No:11 Merkez / KARAMAN,
ŞRJ/10051,BEYŞEHİR KÜLTÜR MERKEZİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,BEYŞEHİR BELEDİYE BAŞKANLIĞI,Müftü Mahallesi Beyşehir Caddesi  No:2155 Beyşehir / KONYA,
ŞRJ/8987,NİSANYAĞMURLARI_EREĞLİ_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,NİSAN YAĞMURLARI EĞİTİM GIDA İNŞAAT TURİZM SANAYİ TİCARET ANONİM ŞİRKETİ,Toros Mahallesi 94470 Caddesi  No:3 /1 Ereğli / KONYA,
ŞRJ/12130,ÖMEROĞLU KALIP MOBİLYA METAL İNŞ.SAN.VE TİC.LTD.ŞTİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Fevzi Çakmak Mahallesi Ayyıldız Caddesi  No:103 Karatay / KONYA,
ŞRJ/8990,DİVADİNLENMETESİSİ_AVANOS_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,KOZTAR TARIM TİCARET LİMİTED ŞİRKETİ,Topaklı Mahallesi Kayseri Sokağı  No:32  Yeni Avanos / NEVŞEHİR,
ŞRJ/13385,AYAZ_ÇİÇEK_MİDYAT_ANTİK_OTEL,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,HİVROJ SEYAHAT TURİZM OTOMOTİV LOJİSTİK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Bağlarbaşı Mah Mahallesi Yeni Çevre Yolu Cad Caddesi  No:0  Yolağzı Köyü Gercüş / BATMAN,
ŞRJ/8991,HANLARREST_KONYA_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Kızılören Mahallesi Beyşehir Caddesi  No:509 Meram / KONYA,
ŞRJ/12107,İSKELE YAŞAM TURİZM GIDA İNŞAAT SAN. TİC. LTD. ŞTİ.,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Hürriyet Mahallesi Gölyolu Caddesi Muradiye Sokağı  No:79 Orhangazi / BURSA,
ŞRJ/12109,BLUE AKARYAKIT ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Yavuz Selim Mahallesi Sümrü Küme Evler Caddesi  No:129 Merkez / AKSARAY,
ŞRJ/12125,KENT GROUP TURİZM GIDA SANAYİ TİCARET LTD. ŞTİ.,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,AFBİM BİLGİSAYAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Esentepe Mahallesi Gül Sokağı  No:1  Yaylabağı İhsaniye / AFYONKARAHİSAR,
ŞRJ/7569,ARKSAN,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,OKTAY BULDUK,Horozluhan Mahallesi Saraycık Caddesi  No:134 Selçuklu / KONYA,
ŞRJ/11385,HUNT GROUP OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,TURAV EXPORT GROUP DANIŞMANLIK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,Çukurağıl Mahallesi Beyşehir Caddesi  No:990 Beyşehir / KONYA,
ŞRJ/8989,KA GREEN HALKALI SİTESİ_İSTANBUL_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,TEKBOL SES SPOR ENERJİ VE SAĞLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,Atakent Mahallesi 1203 Sokağı  No:26 H Küçükçekmece / İSTANBUL,
ŞRJ/8992,M.G.M MOTOR - FETHİYE,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,M.G.M. MOTOR GENSET MAKİNA SANAYİ TURİZM VE TİCARET LİMİTED ŞİRKETİ,Cumhuriyet Mahallesi Beyazötesi Caddesi  Camii Fethiye / MUĞLA,
ŞRJ/9445,BEYŞEHİR BELEDİYE AKARYAKIT_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,TURAV EXPORT GROUP DANIŞMANLIK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,Hamidiye Mahallesi Atatürk Caddesi  No:170 Beyşehir / KONYA,
ŞRJ/9437,TURAV EXPORT GRUP_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,TURAV EXPORT GROUP DANIŞMANLIK İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,Sarıköy Mahallesi Beyşehir Caddesi  No:1573 Beyşehir / KONYA,
ŞRJ/8956,ÇINARIM EĞİTİM HİZMETLERİ_SÖKE_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ATUK GROUP PETROL ÜRÜNLERİ VE DANIŞMANLIK LİMİTED ŞİRKETİ,Yenikent Mahallesi Elit Sokağı  No:1 Söke / AYDIN,
ŞRJ/10058,ÇINARIM EĞİTİM HİZMETLERİ SÖKE,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ATUK GROUP PETROL ÜRÜNLERİ VE DANIŞMANLIK LİMİTED ŞİRKETİ,Yenikent Mahallesi  No:3A /1 Söke / AYDIN,
ŞRJ/12117,SUNPOINT TURİZM OTELCİLİK VE SANAYİ VE TİC. LTD. ŞTİ,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Gümbet Mahallesi Adnan Menderes Caddesi  No:62 Bodrum / MUĞLA,
ŞRJ/8959,MUAMMER ALTUNAY_KONYA_ŞARJMATİK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Ateşbaz Veli Mahallesi İkiçayarası Caddesi  No:68 /A1 Meram / KONYA,
ŞRJ/7566,Ömeroğlu Kalıp,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Fevzi Çakmak Mahallesi Ayyıldız Caddesi  No:103_C A BLOK Karatay / KONYA,
ŞRJ/7965,BEYTULLAH BAŞAK,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,YAZICIOĞLU TEKNOLOJİ BİLİŞİM ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Yavuz Sultan Selim Mahallesi  No:265 Erbaa / TOKAT,
ŞRJ/12124,SAİT TEKE,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Bahçesaray Mahallesi 201 Caddesi  No:6 Merkez / AKSARAY,
ŞRJ/12108,İZNİK ASKANİA RESTORAN TURİZM GIDA SAN.VE TİC. A.Ş,Halka Açık,ŞarjMatik,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,ŞARJMATİK ENERJİ BİLİŞİM LİMİTED ŞİRKETİ,Boyalıca Mahallesi  Çongu İznik / BURSA,
